file_path,filename,title,creator,era,match_source
C:\Users\lbouw\Downloads\Star_Wars_Books\Before the Republic\Novels\002 - Dawn of the Jedi_Into the Void.epub,002 - Dawn of the Jedi_Into the Void.epub,Into the Void: Star Wars (Dawn of the Jedi),Tim Lebbon,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\248 - Legacy of the Force_Betrayal.epub,248 - Legacy of the Force_Betrayal.epub,Book 1 - Betrayal,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\249- Legacy of the Force_Bloodlines.epub,249- Legacy of the Force_Bloodlines.epub,Book 2- Bloodlines,Karen Traviss,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\250 - Legacy of the Force_Tempest.epub,250 - Legacy of the Force_Tempest.epub,Book 3 - Tempest,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\251 - Legacy of the Force_Exile.epub,251 - Legacy of the Force_Exile.epub,Book 4 - Exile,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\252 - Legacy of the Force_Sacrifice.epub,252 - Legacy of the Force_Sacrifice.epub,Book 5 - Sacrifice,Karen Traviss,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\253 - Legacy of the Force_Inferno.epub,253 - Legacy of the Force_Inferno.epub,Book 6 - Inferno,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\254 - Legacy of the Force_Fury.epub,254 - Legacy of the Force_Fury.epub,Book 7 - Fury,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\255 - Legacy of the Force_Revelation.epub,255 - Legacy of the Force_Revelation.epub,Book 8 - Revelation,Karen Traviss,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\256 - Legacy of the Force_Invincible.epub,256 - Legacy of the Force_Invincible.epub,Book 9 - Invincible,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\257 - Crosscurrent.epub,257 - Crosscurrent.epub,Book 1 - Crosscurrent,Paul S. Kemp,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\258 - Riptide.epub,258 - Riptide.epub,Book 2 - Riptide,Paul S. Kemp,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Legacy Era\Novels\259 - Millennium Falcon.epub,259 - Millennium Falcon.epub,Book 1 - Millennium Falcon,James Luceno,,unmatched
